Unnamed: 0,county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
3858,Muscogee County,Georgia,False,2014,102253,7.1,6.2,6.3,5.9,7.8,7.9,7.8,6.1,6.6,6.0,6.7,6.5,4.8,4.4,3.4,2.3,2.0,2.2,98634,7.8,7.5,5.9,7.2,9.3,9.3,8.3,7.2,5.3,5.8,6.3,5.5,5.0,3.7,2.0,1.0,2.0,0.7
4154,Muscogee County,Georgia,False,2015,101794,7.1,6.8,6.0,6.2,7.3,8.1,7.2,6.5,6.4,5.3,6.6,6.2,5.6,4.7,3.0,2.7,1.8,2.4,98785,7.9,6.2,7.0,7.4,9.4,8.9,8.8,7.3,5.2,5.5,5.7,5.8,5.1,4.3,1.8,1.3,1.1,1.3
303,Newton County,Georgia,True,2010,51811,6.8,6.8,8.3,8.3,4.6,6.0,7.4,7.9,7.8,7.8,6.3,5.1,5.9,3.6,2.2,2.4,1.4,1.3,48275,7.8,6.3,11.1,9.7,5.6,6.3,5.0,7.0,9.0,7.1,6.3,5.8,4.2,2.6,2.6,2.3,0.8,0.2
1377,Newton County,Georgia,True,2011,53260,6.7,8.7,8.7,5.3,5.9,5.5,7.0,6.8,9.1,9.5,4.6,6.1,5.0,5.5,1.0,0.9,1.4,2.2,47554,8.2,11.7,4.8,8.1,5.8,5.2,6.4,8.5,7.7,8.0,6.4,5.7,4.5,2.3,3.7,0.4,0.9,1.8
2247,Newton County,Georgia,True,2012,52719,6.4,7.0,7.3,8.1,5.4,5.5,6.8,7.9,8.4,7.4,6.5,8.1,3.1,5.2,2.1,1.3,1.6,2.1,48786,7.1,8.9,9.0,11.1,5.5,4.4,4.9,7.4,7.1,8.0,6.5,6.8,3.3,4.3,2.5,2.0,0.7,0.6
3029,Newton County,Georgia,True,2013,54042,7.1,5.6,9.0,8.2,5.8,5.1,5.3,10.8,7.5,6.1,6.5,5.9,5.1,4.2,2.6,3.0,1.2,1.2,48404,6.6,8.0,8.6,9.3,7.2,5.7,6.1,7.3,7.4,6.0,7.2,5.5,4.7,4.2,2.9,1.9,0.7,0.7
3859,Newton County,Georgia,True,2014,53441,5.8,7.0,7.3,7.1,5.6,5.9,6.9,6.7,8.6,7.3,7.0,5.6,5.8,4.4,3.9,2.7,1.3,0.9,50234,6.9,8.7,8.4,8.7,4.8,7.6,6.9,5.4,7.7,7.3,6.7,4.4,5.9,5.1,2.5,1.0,1.3,0.7
4155,Newton County,Georgia,True,2015,55674,5.7,7.0,8.7,7.8,5.2,6.3,6.5,8.2,5.7,8.6,6.0,5.8,5.6,4.2,3.9,2.6,1.0,1.3,49799,6.6,9.0,7.0,7.1,8.0,6.3,6.6,6.8,5.9,7.8,6.9,5.3,5.1,5.3,2.5,1.7,1.2,0.8
304,Paulding County,Georgia,True,2010,72737,6.8,8.1,8.8,7.2,4.5,6.5,7.8,10.2,8.6,7.5,6.1,5.0,4.8,3.4,1.6,1.1,0.9,0.9,70004,8.7,7.9,10.3,7.8,6.3,5.5,5.9,9.1,9.2,8.2,6.7,4.4,3.7,2.5,1.6,1.3,0.6,0.3
1378,Paulding County,Georgia,True,2011,71604,8.2,7.6,8.0,6.0,5.5,5.7,7.5,10.4,8.7,8.7,6.0,6.8,2.8,2.8,3.6,0.0,0.9,0.9,71938,8.0,8.2,6.9,10.5,7.4,5.1,6.4,10.2,8.1,6.3,7.3,4.2,4.5,2.7,2.5,1.0,0.5,0.3
